Previous qualification (grade),Admission grade,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Target
122.0,127.3,0.0,0.0,0.0
160.0,142.5,14.0,13.66666667,1.0
122.0,124.8,0.0,0.0,0.0
119.85699999999996,89.1,6.83988712,7.487278571099995,1.0
131.8613678833818,126.67491666666669,11.343288185099992,11.15266582339999,1.0
127.32559496159757,113.295,11.840173098400001,11.5,1.0
142.0,128.4,13.3,14.345,1.0
96.8,113.1,18.24316709,11.82618056,0.0
137.0,129.3,13.875,14.14285714,1.0
130.45000000000002,123.0,11.4,11.086407171900003,0.0
133.59273072072085,132.96399999999997,13.555609872799996,14.2,1.0
136.0,119.3,13.21428571,13.21428571,1.0
134.59689334841173,113.16571657374719,0.0,0.0,0.0
110.0,111.8,10.57142857,11.0,1.0
146.705,168.9,7.66490604,9.393350895999994,1.0
95.3,120.7,16.63965897,12.73387995,0.0
109.2,101.28299999999999,8.727981124800007,4.876919297500002,2.0
135.0,127.3,13.30625,14.545,1.0
137.0,136.3,12.5,12.25,1.0
140.0,124.6,11.66666667,13.5,2.0
122.0,154.0,16.12118343,5.59948014,1.0
129.62600000000003,80.3,11.4375,15.907404841800007,2.0
142.0,125.5,12.85714286,12.85714286,1.0
131.8613678833818,126.67491666666669,11.343288185099992,11.15266582339999,1.0
126.0,123.9,13.29666667,14.11428571,1.0
151.03499999999997,157.0,11.927909540199995,11.0,2.0
121.145,113.6489999999999,12.482100867700003,13.28571429,1.0
138.0,131.0,12.66666667,13.0,2.0
135.0,122.1,12.0,12.33333333,1.0
127.0,118.8,12.93333333,13.71666667,2.0
150.0,150.0,11.85714286,10.57142857,2.0
164.3,91.8,9.50594358,4.77390113,1.0
131.039,124.69399999999995,11.33333333,13.5,2.0
138.0,134.5,12.66666667,14.375,1.0
130.0,131.4,12.4,13.42857143,1.0
164.5,126.75699999999988,2.4482256815,7.28943648,0.0
123.14096666666671,99.3,9.114088221799994,-0.60930369,0.0
125.88738095238094,120.42599999999992,10.0,5.10015792,0.0
133.19508333333337,131.8,11.0,11.953869454600008,1.0
160.8,127.69149999999998,1.86660809,3.391123283700001,0.0
148.93099999999998,164.2,13.656533657900006,16.35192969,0.0
133.0,120.4,14.8,15.8,1.0
134.91393333333343,100.6,13.928,13.237734995200004,1.0
120.0,121.4,13.0,13.8,0.0
133.1,109.7,0.0,0.0,0.0
154.0,134.1,11.5,14.33333333,2.0
130.0,127.6,11.66666667,13.2,1.0
132.0,132.4,13.51666667,13.77142857,1.0
135.57400000000004,133.4,13.421095330900002,13.28571429,1.0
139.0,126.1,12.33333333,12.83333333,1.0
95.6,93.81299999999996,9.458223107099997,9.210121149800004,1.0
139.0,121.3,11.83333333,11.83333333,2.0
126.11805198592259,120.06199999999998,11.510680383099992,11.631847594600004,2.0
167.0,159.3,14.71428571,15.8,1.0
130.0,120.0,10.6,11.0,0.0
142.3675666666667,133.10899999999998,13.04444444,13.595,1.0
122.9819555998975,111.14183333333332,8.791725374400007,2.8035318563999994,0.0
129.0,155.3,13.0,12.9,0.0
